LoiGiaiID,improvedParam,preservedParam,principleId,priority
278,1,37,6,0
279,1,37,28,0
280,1,38,26,0
281,1,38,10,0
282,1,38,17,0
283,1,38,13,0
284,1,38,35,0
285,1,38,28,0
286,1,38,5,0
287,1,38,2,0
288,1,39,3,0
289,1,39,1,0
290,1,39,31,0
291,1,39,14,0
292,1,39,40,0
293,1,39,4,0
294,1,39,30,0
295,1,40,5,0
296,1,40,24,0
297,1,40,27,0
298,1,40,21,0
299,1,40,25,0
300,1,40,2,0
301,1,40,18,0
302,1,40,31,0
303,1,40,35,0
304,1,41,1,0
305,1,41,5,0
306,1,41,36,0
307,1,41,25,0
308,1,41,16,0
309,1,41,14,0
310,1,41,24,0
311,1,41,27,0
312,1,41,3,0
313,1,42,28,0
314,1,42,5,0
315,1,42,26,0
316,1,42,35,0
317,1,42,25,0
318,1,42,1,0
319,1,42,18,0
320,1,42,24,0
321,1,42,3,0
322,1,43,35,0
323,1,43,26,0
324,1,43,2,0
325,1,43,23,0
326,1,43,10,0
327,1,43,25,0
328,1,43,24,0
329,1,43,1,0
330,1,43,19,0
331,1,44,35,0
332,1,44,24,0
333,1,44,28,0
334,1,44,10,0
335,1,44,12,0
336,1,44,1,0
337,1,44,3,0
338,1,44,37,0
339,1,44,16,0
340,1,45,26,0
341,1,45,35,0
342,1,45,40,0
343,1,45,30,0
344,1,45,36,0
345,1,45,2,0
346,1,45,10,0
347,1,45,25,0
348,1,45,28,0
349,1,46,10,0
350,1,46,12,0
351,1,46,2,0
352,1,46,19,0
353,1,46,23,0
354,1,46,15,0
355,1,46,5,0
356,1,47,10,0
357,1,47,28,0
358,1,47,3,0
359,1,47,7,0
360,1,47,35,0
361,1,47,1,0
362,1,48,25,0
363,1,48,2,0
364,1,48,3,0
365,1,48,40,0
366,1,48,8,0
367,1,48,35,0
368,1,48,29,0
369,1,49,26,0
370,1,49,28,0
371,1,49,5,0
372,1,49,32,0
373,1,49,37,0
374,1,49,20,0
375,1,49,36,0
376,1,49,32,0
377,1,50,28,0
378,1,50,26,0
379,1,50,35,0
380,1,50,10,0
381,1,50,37,0
382,1,50,2,0
383,2,1,35,0
384,2,1,3,0
385,2,1,40,0
386,2,1,31,0
387,2,1,2,0
388,2,1,1,0
389,2,1,26,0
390,2,3,17,0
391,2,3,4,0
